label;claude_sent;gpt_sent;gpt_sent_2;lyrics
nostalgic;;Positive Emotions;Positive Sentiments;"
There were bells on a hill
But I never heard them ringing
No, I never heard them at all
Till there was you

There were birds in the sky
But I never saw them winging
No, I never saw them at all
Till there was you

Then there was music and wonderful roses
They tell me in sweet fragrant meadows
Of dawn and dew

There was love all around
But I never heard it singing
No, I never heard it at all
Till there was you

Then there was music and wonderful roses
They tell me in sweet fragrant meadows
Of dawn and dew

There was love all around
But I never heard it singing
No, I never heard it at all
Till there was you

Till there was you"
intimate;;;Calm and Peaceful;"
And I'm standing on a platform
Now I'm staring from a train
And all the trees roll back beside but I'm so oblivious
To the dark to the light
It's all the same

You gave me so much
And now it's of the earth

And it makes me cry
It can makes me cry

And you're standing here beside me
In a picture in a frame
And your voice could never fade it's so familiar
Things you said in my head
Every day

You gave me so much
And now it's of the earth

And it makes me cry
It can makes me cry


You're with me so much
Through you're never with me anymore

And it makes me cry
It can make me cry"
bittersweet;Pensive/Emotional;;Complex and Mysterious;"
They're gonna send us to prison for jerks
For having vague ideas of the way to turn each other on again
They're gonna send us to prison for jerks

They'll find us here
Here, here in the guest room
Where we throw money at each other and cry
Oh, my

We miss being ruffians, going wild and bright
In the corners of front yards, getting in and out of cars
We miss being deviants

They'll find us here
Here, here in the guest room
Where we throw money at each other and cry
Oh, my

We can't stay here
We're starting to stay the same
We can't stay here
We can't stay this way

Just tie your woman to your wrist
Give her the room to tie the other

They'll find us here
Here, here in the guest room
Where we throw money at each other and cry
Oh, my"
wistful;Pensive/Emotional;;Complex and Mysterious;"Nothing is ever as good as it was
And what's good for your soul will be bad on your nerves if you reverse it
It's bound to melt your heart
One way or another
It's bound to melt your heart
For good or for bad
It's like a valentine from your mother
It's bound to melt your heart
And we've lost the people we could've loved, and you
What you know you have, or what you think you want, it's never perfect
It's bound to melt your heart
One way or another
It's bound to melt your heart
For good or for bad
It's like a valentine from your mother
It's bound to melt your heart
Are we killing time?
Are we killing each other?
When you're kissing someone who's too much like you
It's like kissing on the mirror
When you're sleeping with someone who doesn't get you
You're going to hate yourself in the morning
It's bound to melt your heart
One way or another
It's bound to melt your heart
For good or for bad
It's like a valentine from your mother
It's bound to melt your heart"
exciting;Positive/Uplifting;;Energetic and Exciting;"You become pretty when you draw near love
Let's throw away a can & bottle here!
As for such a teacher, it loved it very much
Who can't endure it any more!!!!
Review lady, you good star...
Get the hardware, non-step bus
LET'S HAVE SUCH A COFFEE
LET'S HAVE SUCH A COFFEE
Care your hand
STOP THE MY CAR
That's our wishness
LET'S HAVE SUCH A COFFEE
LET'S HAVE SUCH A COFFEE
Good time with the games in this
LET'S GET ALONG WITH ME!
It is a mama's being asked and coming to usage
Let's try homeparty fashionbly
My enthusiastic heart feeling seasons
You may eat ice cream secretly
I care of you. My favorite Gut
This Kitchenware is full of device
LET'S HAVE SUCH A COFFEE
LET'S HAVE SUCH A COFFEE
Care your hand
STOP THE MY CAR
That's our wishness
LET'S HAVE SUCH A COFFEE
LET'S HAVE SUCH A COFFEE
Good time with the games in this
LET'S GET ALONG WITH ME!
Together with John of the my friends's dog today
Dusts & bugs border us a lot!
Relieve the relief and listen to the Angel's whisper
It's burned to a crisp with all our heart
It's boogie style. taste of relax
Imagine house for spicy girls
LET'S HAVE SUCH A COFFEE
LET'S HAVE SUCH A COFFEE
Care your hand
STOP THE MY CAR
That's our wishness
LET'S HAVE SUCH A COFFEE
LET'S HAVE SUCH A COFFEE
Good time with the games in this
LET'S GET ALONG WITH ME!
PLEASE BE MUCH NOTICE
LET'S GET ALONG WITH ME!
Where should we this article?
LET'S GET ALONG WITH ME!"
gloomy;Dark/Negative;;Negative Sentiments;"
Distantly the chains are falling
With an anchor pulling here
The moments that are rolling
Are rolling in my ear
And we are sitting
Nowhere here

When you go you will be driven
Must be given to the price
With a number counting true
You wear colors that are blue
You are
Taking his advice

Do you know a game to witness
That is bound to hit you lame
As a man of power
Can you dare
Can you dare to be insane?
Can you
Dare to be insane?"
energetic;HighEnergy/Intensity;Excitement and Energy;Energetic and Exciting;"Fully unaware, already on route
All the way there
Follow or lose your way, hurry!
Follow or lose your way, hurry!
What I don't know leaves me wanting, wanting, wanting, wanting it more
I'm ready now more than ever
Feeling the shot going through my chest
Hurry! Follow or lose your way
Hurry!
What I don't know leaves me wanting, wanting, wanting, I'm wanting it more
Suspense will ruin me
Urgency, it's getting the best of me
Suspense will ruin me
Wanting, wanting, I want it more"
cheerful;Positive/Uplifting;Positive Emotions;Positive Sentiments;"I'm the life of the party, I'm always smiling
On the surface I'm as happy as can be
And I don't watch the news and I don't read the papers
And I don't like chicken soup for the soul

Do you wanna share my apple pie?
I don't understand why people cry
Can't we just all get along?
Everybody, come on
When things get heavy I'll change the subject
And I'll talk about ice cream and teddy bears
Everytime you tell me about your problems
I get rigid and scared and I shut off

Do you wanna share my apple pie?
I don't understand why people cry
Can't we just all get along?
Everybody, come on
I've never been sad
'Cause of lack of emotion I'm very, very glad
I've never been real
'Cause my armour means I never have to feel

Do you wanna share my apple pie?
I don't understand why people cry
Can't we just all get along?
Everybody, come on
I don't dig confrontation, I keep my mouth shut
But I lie to save my own ass
People talk of politics and people talk of war
And I don't know why they're so upset
Uh-uh

Do you wanna share my apple pie?
I don't understand why people cry
Can't we just all get along?
Everybody, come on
Everybody, come on
Everybody, come on"
sensual;;;Energetic and Exciting;"I remember when you came
I can just recall that day
Unexpected, undetected
If I'd have known I still would have done it
So little time, so long to wait
A paradise, within your eyes
All the things I could tell you
All the things I could show you
You're my waking thought
You're the smile on my lips
I dream I see your face
I see and dream of you
You were safe and warm
I was in your hands
We were moved in time
To another space
Somewhere, not here
Somewhere, not here
So, little time
So, little time
You were safe and warm
I was in your hands
We were moved in time
To another space
A thousand miles away
I'd like to fly to you
I immerse myself
I dream, I see your face
I see, I dream of you
If you were here we'd watch
If you were here we'd see
You're my waking thought
You're the smile on my lips
You were safe and warm
I was in your hands
We were moved in time
To another space
Somewhere, not here
I know you are somewhere, not here
You're my waking thought
You're the smile on my lips
Are you thinking of me
Do I invade your sleep
A paradise, a paradise
Within your eyes
I remember when you came
I can just recall that day
Somewhere not here
Somewhere not here
Somewhere"
quirky;Quirky/Unconventional;Humor and Playfulness;Energetic and Exciting;"I wish I cared about the things you care about, but I don't
I don't
Your scrill and the bars and the lake and the stars, but I don't
I don't
Hey we may, hey we may
You know my name, you know my name
Hey we may, hey we may
Know your name, I know your name
I wish I cared about the things you cared about but I don't
Your locomotive, keep going keep going no focus
Locomotive slow down, slow down
Now come on call me sugar, call her honey, call me darling
But I leave it at the door cause nobody saying nothing
Hey we may, hey we may
You know my name, you know my name
Hey we may, hey we may
I know your name
I wish I cared about the things you care about, but I don't
Your locomotive, keep going keep going no focus
Locomotive slow down, slow down
Look down on what you started
Look down on what you started
Look down on what you started
Look down
Locomotive, keep going keep going don't focus
Locomotive slow down, slow down
Look down on what you started
Look down on what you started
Look down on what you started
Look down
Now look down on what you started
Keep goin', keep goin', keep goin'
Now look down on what you started
Keep goin', keep goin', slow down"
