HighEnergy/Intensity,Positive/Uplifting,Dark/Negative,Pensive/Emotional,Quirky/Unconventional
aggressive,fun,bitter,poignant,epic
energetic,sexy,desperate,thoughtful,carefree
driving,uplifting,dark,precious,freewheeling
intense,exciting,cold,lyrical,detached
confrontational,sparkling,gritty,wistful,quirky
fierce,summery,spooky,melancholy,irreverent
powerful,bright,eerie,sad,messy
volatile,cheerful,bleak,mellow,sprawling
raucous,gleeful,scary,romantic,rambunctious
brash,playful,ominous,nervous,eccentric
explosive,positive,apocalyptic,elegiac,rollicking
manic,triumphant,gloomy,distraught,trashy
urgent,springlike,halloween,plaintive,campy
dramatic,confident,grim,lonely,acerbic
gutsy,optimistic,nocturnal,yearning,narrative
rousing,whimsical,menacing,bittersweet,ironic
passionate,humorous,brooding,angst-ridden,flashy
crunchy,joyous,somber,introspective,mysterious
provocative,euphoric,threatening,searching,mystical
hyper,celebratory,demonic,meditative,ramshackle
visceral,giddy,druggy,austere,stylish
thrilling,ebullient,belligerent,,cerebral
uncompromising,sprightly,malevolent,,enigmatic
monumental,,scarymusic,,serious
rowdy,,funereal,,self-conscious
bombastic,,nihilistic,,snide
boisterous,,paranoid,,swaggering
exuberant,,gothic,,feral
bravado,,,,fractured
feral,,,,earthy
fractured,,,,philosophical
kinetic,,,,shimmering
motoric,,,,brittle
,,,,knotty
,,,,difficult
,,,,circular
,,,,insular
,,,,meandering
,,,,perky
,,,,refined
,,,,sacred
,,,,satirical
,,,,comic
,,,,rustic
,,,,effervescent
,,,,elaborate
,,,,ornate
,,,,mechanical
,,,,pastoral
,,,,sparse
,,,,naive
,,,,child-like
,,,,indulgent
,,,,clinical
,,,,monastic
,,,,opulent
,,,,transparent
,,,,sugary
,,,,capricious
,,,,feverish
,,,,virile
,,,,translucent
,,,,hymn-like
