Sentiment,Song Title,Artist
Happy / Joyful,Happy,Pharrell Williams
Happy / Joyful,Walking on Sunshine,Katrina and the Waves
Happy / Joyful,Can't Stop the Feeling!,Justin Timberlake
Happy / Joyful,Uptown Funk,Mark Ronson ft. Bruno Mars
Happy / Joyful,I Gotta Feeling,The Black Eyed Peas
Sad / Melancholic,Someone Like You,Adele
Sad / Melancholic,Yesterday,The Beatles
Sad / Melancholic,Tears in Heaven,Eric Clapton
Sad / Melancholic,Nothing Compares 2 U,Sinéad O'Connor
Sad / Melancholic,Hurt,Johnny Cash
Love / Romantic,Thinking Out Loud,Ed Sheeran
Love / Romantic,Just the Way You Are,Bruno Mars
Love / Romantic,All of Me,John Legend
Love / Romantic,Endless Love,Diana Ross and Lionel Richie
Love / Romantic,Unchained Melody,The Righteous Brothers
Anger / Defiance,You Oughta Know,Alanis Morissette
Anger / Defiance,We’re Not Gonna Take It,Twisted Sister
Anger / Defiance,Break Stuff,Limp Bizkit
Anger / Defiance,Stronger,Kanye West
Anger / Defiance,Fight Song,Rachel Platten
Happy / Joyful,Good Vibrations,The Beach Boys
Happy / Joyful,Lovely Day,Bill Withers
Happy / Joyful,Celebration,Kool & The Gang
Happy / Joyful,Best Day of My Life,American Authors
Happy / Joyful,Shut Up and Dance,WALK THE MOON
Sad / Melancholic,Everybody Hurts,R.E.M.
Sad / Melancholic,The Night We Met,Lord Huron
Sad / Melancholic,Hallelujah,Jeff Buckley
Sad / Melancholic,Fix You,Coldplay
Sad / Melancholic,Mad World,Gary Jules
Love / Romantic,I Will Always Love You,Whitney Houston
Love / Romantic,Your Song,Elton John
Love / Romantic,I Don't Want to Miss a Thing,Aerosmith
Love / Romantic,My Heart Will Go On,Celine Dion
Love / Romantic,A Thousand Years,Christina Perri
Anger / Defiance,Rolling in the Deep,Adele
Anger / Defiance,Smells Like Teen Spirit,Nirvana
Anger / Defiance,Stronger (What Doesn’t Kill You),Kelly Clarkson
Anger / Defiance,Radioactive,Imagine Dragons
Anger / Defiance,We Will Rock You,Queen
Happy / Joyful,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
Happy / Joyful,Good Time,Owl City & Carly Rae Jepsen
Happy / Joyful,Dancing Queen,ABBA
Happy / Joyful,On Top of the World,Imagine Dragons
Happy / Joyful,Happy Together,The Turtles
Sad / Melancholic,Back to Black,Amy Winehouse
Sad / Melancholic,The Sound of Silence,Simon & Garfunkel
Sad / Melancholic,With or Without You,U2
Sad / Melancholic,Someone You Loved,Lewis Capaldi
Sad / Melancholic,Creep,Radiohead
Love / Romantic,Perfect,Ed Sheeran
Love / Romantic,Something,The Beatles
Love / Romantic,Crazy in Love,Beyoncé ft. Jay-Z
Love / Romantic,Can't Help Falling in Love,Elvis Presley
Love / Romantic,Endless Love,Lionel Richie & Diana Ross
Anger / Defiance,Seven Nation Army,The White Stripes
Anger / Defiance,In the End,Linkin Park
Anger / Defiance,Eye of the Tiger,Survivor
Anger / Defiance,Not Afraid,Eminem
Anger / Defiance,Gives You Hell,The All-American Rejects
Happy / Joyful,All Star,Smash Mouth
Happy / Joyful,Good Life,OneRepublic
Happy / Joyful,Firework,Katy Perry
Happy / Joyful,Wake Me Up Before You Go-Go,Wham!
Happy / Joyful,Lovely Day,Bill Withers
Sad / Melancholic,Skinny Love,Bon Iver
Sad / Melancholic,Let Her Go,Passenger
Sad / Melancholic,Stay With Me,Sam Smith
Sad / Melancholic,Yesterday,The Beatles
Sad / Melancholic,I Will Remember You,Sarah McLachlan
Love / Romantic,When a Man Loves a Woman,Percy Sledge
Love / Romantic,How Deep Is Your Love,Bee Gees
Love / Romantic,I Just Called to Say I Love You,Stevie Wonder
Love / Romantic,You're Still the One,Shania Twain
Love / Romantic,Kiss Me,Sixpence None The Richer
Anger / Defiance,Survivor,Destiny's Child
Anger / Defiance,The Pretender,Foo Fighters
Anger / Defiance,We’re Not Gonna Take It,Twisted Sister
Anger / Defiance,So What,P!nk
Anger / Defiance,You Don't Own Me,Lesley Gore
Happy / Joyful,Walking on Sunshine,Katrina and the Waves
Happy / Joyful,Good Life,OneRepublic
Happy / Joyful,Shake It Off,Taylor Swift
Happy / Joyful,Shut Up and Dance,WALK THE MOON
Happy / Joyful,Best Day of My Life,American Authors
Sad / Melancholic,Everybody Hurts,R.E.M.
Sad / Melancholic,Someone Like You,Adele
Sad / Melancholic,Fix You,Coldplay
Sad / Melancholic,Hallelujah,Jeff Buckley
Sad / Melancholic,The Night We Met,Lord Huron
Love / Romantic,Perfect,Ed Sheeran
Love / Romantic,Just the Way You Are,Bruno Mars
Love / Romantic,All of Me,John Legend
Love / Romantic,Thinking Out Loud,Ed Sheeran
Love / Romantic,I Will Always Love You,Whitney Houston
Anger / Defiance,We Will Rock You,Queen
Anger / Defiance,Rolling in the Deep,Adele
Anger / Defiance,Smells Like Teen Spirit,Nirvana
Anger / Defiance,Not Afraid,Eminem
Anger / Defiance,In the End,Linkin Park
Happy / Joyful,Good Vibrations,The Beach Boys
Happy / Joyful,Lovely Day,Bill Withers
Happy / Joyful,Firework,Katy Perry
Happy / Joyful,Happy Together,The Turtles
Happy / Joyful,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
Sad / Melancholic,The Sound of Silence,Simon & Garfunkel
Sad / Melancholic,Creep,Radiohead
Sad / Melancholic,Hurt,Johnny Cash
Sad / Melancholic,Let Her Go,Passenger
Sad / Melancholic,With or Without You,U2
Love / Romantic,Something,The Beatles
Love / Romantic,Unchained Melody,The Righteous Brothers
Love / Romantic,A Thousand Years,Christina Perri
Love / Romantic,Can't Help Falling in Love,Elvis Presley
Love / Romantic,Crazy in Love,Beyoncé ft. Jay-Z
Anger / Defiance,Break Stuff,Limp Bizkit
Anger / Defiance,Eye of the Tiger,Survivor
Anger / Defiance,You Oughta Know,Alanis Morissette
